date,values
3/3/2025 11:58:50,"{""bot"":""Bot1"",""rt"":18747,""response"":{""q1"":""4"",""q2"":""4"",""q3"":""4"",""q4"":""3"",""q5"":""3"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":219137}"
3/3/2025 11:59:09,"{""bot"":""Bot1"",""rt"":19012,""response"":{""q7"":""3"",""q8"":""4"",""q9"":""4"",""q10"":""3"",""q11"":""4"",""q12"":""4""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":238153}"
3/3/2025 11:59:45,"{""bot"":""Bot1"",""rt"":35043,""response"":{""q13"":""I really enjoyed the interest shown into my life."",""q14"":""I was expecting a more mellow conversation but the pace was a little quick.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":273199}"
3/3/2025 12:00:41,"{""bot"":""Bot3"",""rt"":132995,""response"":{""q13"":""My favorite part of the conversation was that the agent was actually knowledgable about succulent plants. I was impressed."",""q14"":""It was difficult talking with this agent. Sounded like talking to a computer recording. At times I wasn't sure if the agent was still there or heard my question, because the responses took so long.""},""trial_type"":""survey-html-form"",""trial_index"":15,""plugin_version"":null,""time_elapsed"":1526233}"
3/3/2025 12:03:08,"{""bot"":""Bot2"",""rt"":22440,""response"":{""q1"":""2"",""q2"":""2"",""q3"":""2"",""q4"":""1"",""q5"":""2"",""q6"":""1""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":477071}"
3/3/2025 12:03:26,"{""bot"":""Bot2"",""rt"":16904,""response"":{""q7"":""1"",""q8"":""1"",""q9"":""1"",""q10"":""3"",""q11"":""2"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":493979}"
3/3/2025 12:03:49,"{""bot"":""Bot2"",""rt"":23786,""response"":{""q13"":""I enjoyed all the information I received."",""q14"":""The conversation felt robotic.""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":517767}"
3/3/2025 12:07:41,"{""bot"":""Bot3"",""rt"":18387,""response"":{""q1"":""2"",""q2"":""3"",""q3"":""4"",""q4"":""2"",""q5"":""4"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":13,""plugin_version"":null,""time_elapsed"":749837}"
3/3/2025 12:07:54,"{""bot"":""Bot3"",""rt"":12499,""response"":{""q7"":""3"",""q8"":""3"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":14,""plugin_version"":null,""time_elapsed"":762344}"
3/3/2025 12:08:43,"{""bot"":""Bot3"",""rt"":49088,""response"":{""q13"":""I really enjoyed the natural flow of conversation."",""q14"":""There was a large delay between me speaking and the assistant responding,  it made the interaction feel unnatural.""},""trial_type"":""survey-html-form"",""trial_index"":15,""plugin_version"":null,""time_elapsed"":811436}"
3/3/2025 13:01:13,"{""bot"":""Bot1"",""rt"":29342,""response"":{""q1"":""4"",""q2"":""4"",""q3"":""4"",""q4"":""5"",""q5"":""5"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":485294}"
3/3/2025 13:01:34,"{""bot"":""Bot1"",""rt"":21229,""response"":{""q7"":""4"",""q8"":""3"",""q9"":""4"",""q10"":""2"",""q11"":""4"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":506526}"
3/3/2025 13:02:09,"{""bot"":""Bot1"",""rt"":33261,""response"":{""q13"":""i liked how it responded with enthusiasm "",""q14"":""not seeing a face""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":539789}"
3/3/2025 13:06:38,"{""bot"":""Bot2"",""rt"":14782,""response"":{""q1"":""4"",""q2"":""3"",""q3"":""3"",""q4"":""2"",""q5"":""2"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":811247}"
3/3/2025 13:06:57,"{""bot"":""Bot2"",""rt"":18326,""response"":{""q7"":""4"",""q8"":""3"",""q9"":""3"",""q10"":""2"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":829575}"
3/3/2025 13:07:22,"{""bot"":""Bot1"",""rt"":27493,""response"":{""q1"":""5"",""q2"":""4"",""q3"":""3"",""q4"":""4"",""q5"":""3"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":359892}"
3/3/2025 13:07:31,"{""bot"":""Bot2"",""rt"":34084,""response"":{""q13"":""bot had a pateint tone good for asking questions"",""q14"":""lack of direction ""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":863661}"
3/3/2025 13:07:47,"{""bot"":""Bot1"",""rt"":25500,""response"":{""q7"":""3"",""q8"":""2"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""4""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":385394}"
3/3/2025 13:09:28,"{""bot"":""Bot1"",""rt"":99696,""response"":{""q13"":""Response to whether it was a terminator or not. "",""q14"":""no""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":485091}"
3/3/2025 13:10:56,"{""bot"":""Bot3"",""rt"":20020,""response"":{""q1"":""5"",""q2"":""3"",""q3"":""5"",""q4"":""5"",""q5"":""4"",""q6"":""4""},""trial_type"":""survey-html-form"",""trial_index"":13,""plugin_version"":null,""time_elapsed"":1069199}"
3/3/2025 13:11:14,"{""bot"":""Bot3"",""rt"":17485,""response"":{""q7"":""5"",""q8"":""4"",""q9"":""3"",""q10"":""2"",""q11"":""4"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":14,""plugin_version"":null,""time_elapsed"":1086686}"
3/3/2025 13:11:42,"{""bot"":""Bot3"",""rt"":27965,""response"":{""q13"":""very detailed answers "",""q14"":""longer answers also felt for like talking with ai""},""trial_type"":""survey-html-form"",""trial_index"":15,""plugin_version"":null,""time_elapsed"":1114654}"
3/3/2025 13:12:51,"{""bot"":""Bot2"",""rt"":20990,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""4"",""q5"":""3"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":688507}"
3/3/2025 13:13:16,"{""bot"":""Bot2"",""rt"":25533,""response"":{""q7"":""3"",""q8"":""2"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":714043}"
3/3/2025 13:14:46,"{""bot"":""Bot2"",""rt"":89994,""response"":{""q13"":""None, really. "",""q14"":""It paused a bit too much and suddenly ended the chat, I don't think it lasted 3 minutes.""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":804039}"
3/3/2025 13:18:51,"{""bot"":""Bot3"",""rt"":27747,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""2"",""q5"":""3"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":13,""plugin_version"":null,""time_elapsed"":1049191}"
3/3/2025 13:19:26,"{""bot"":""Bot3"",""rt"":34649,""response"":{""q7"":""3"",""q8"":""2"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""2""},""trial_type"":""survey-html-form"",""trial_index"":14,""plugin_version"":null,""time_elapsed"":1083841}"
3/3/2025 13:20:01,"{""bot"":""Bot3"",""rt"":34657,""response"":{""q13"":""It told me a joke."",""q14"":""The voice doesn't sound too natural.""},""trial_type"":""survey-html-form"",""trial_index"":15,""plugin_version"":null,""time_elapsed"":1118502}"
3/3/2025 13:58:54,"{""bot"":""Bot1"",""rt"":35270,""response"":{""q1"":""3"",""q2"":""5"",""q3"":""5"",""q4"":""3"",""q5"":""3"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":265699}"
3/3/2025 13:59:36,"{""bot"":""Bot1"",""rt"":42429,""response"":{""q7"":""4"",""q8"":""1"",""q9"":""4"",""q10"":""3"",""q11"":""2"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":308133}"
3/3/2025 14:00:30,"{""bot"":""Bot1"",""rt"":54380,""response"":{""q13"":""I thought the AI did well to understand what I was saying."",""q14"":""no""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":362518}"
3/3/2025 14:05:24,"{""bot"":""Bot2"",""rt"":30043,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""4"",""q4"":""1"",""q5"":""2"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":655941}"
3/3/2025 14:05:51,"{""bot"":""Bot2"",""rt"":27300,""response"":{""q7"":""2"",""q8"":""1"",""q9"":""3"",""q10"":""3"",""q11"":""2"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":683247}"
3/3/2025 14:06:48,"{""bot"":""Bot2"",""rt"":56451,""response"":{""q13"":""I asked a fairly complicated question at the end and was given a good answer"",""q14"":""no but the voice did feel unnatural and robotic in its prosody""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":739702}"
3/3/2025 14:12:05,"{""bot"":""Bot3"",""rt"":21258,""response"":{""q1"":""2"",""q2"":""3"",""q3"":""3"",""q4"":""1"",""q5"":""2"",""q6"":""1""},""trial_type"":""survey-html-form"",""trial_index"":13,""plugin_version"":null,""time_elapsed"":1057141}"
3/3/2025 14:12:27,"{""bot"":""Bot3"",""rt"":22387,""response"":{""q7"":""2"",""q8"":""1"",""q9"":""3"",""q10"":""3"",""q11"":""2"",""q12"":""2""},""trial_type"":""survey-html-form"",""trial_index"":14,""plugin_version"":null,""time_elapsed"":1079533}"
3/3/2025 14:13:07,"{""bot"":""Bot3"",""rt"":39749,""response"":{""q13"":""I did not have a favorite part"",""q14"":""I just thought the AI voice was very unnatural and was distracting""},""trial_type"":""survey-html-form"",""trial_index"":15,""plugin_version"":null,""time_elapsed"":1119286}"
3/3/2025 14:38:56,"{""bot"":""Bot1"",""rt"":17562,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":221186}"
3/3/2025 14:39:05,"{""bot"":""Bot1"",""rt"":9025,""response"":{""q7"":""5"",""q8"":""5"",""q9"":""5"",""q10"":""5"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":230218}"
3/3/2025 14:39:09,"{""bot"":""Bot1"",""rt"":14912,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""4"",""q4"":""4"",""q5"":""4"",""q6"":""4""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":287047}"
3/3/2025 14:39:20,"{""bot"":""Bot1"",""rt"":14812,""response"":{""q13"":""them being joyful to talk to me"",""q14"":""no""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":245037}"
3/3/2025 14:39:22,"{""bot"":""Bot1"",""rt"":14149,""response"":{""q7"":""4"",""q8"":""4"",""q9"":""3"",""q10"":""3"",""q11"":""5"",""q12"":""4""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":301198}"
3/3/2025 14:39:25,"{""bot"":""Bot1"",""rt"":16608,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":264718}"
3/3/2025 14:39:37,"{""bot"":""Bot1"",""rt"":20780,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""4"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":247677}"
3/3/2025 14:39:43,"{""bot"":""Bot1"",""rt"":24763,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""3"",""q5"":""4"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":293900}"
3/3/2025 14:39:56,"{""bot"":""Bot1"",""rt"":31061,""response"":{""q7"":""5"",""q8"":""1"",""q9"":""4"",""q10"":""4"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":295781}"
3/3/2025 14:40:00,"{""bot"":""Bot1"",""rt"":26568,""response"":{""q1"":""1"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":243379}"
3/3/2025 14:40:00,"{""bot"":""Bot1"",""rt"":22153,""response"":{""q7"":""4"",""q8"":""3"",""q9"":""4"",""q10"":""4"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":269832}"
3/3/2025 14:40:09,"{""bot"":""Bot1"",""rt"":26001,""response"":{""q7"":""3"",""q8"":""3"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""4""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":319903}"
3/3/2025 14:40:23,"{""bot"":""Bot1"",""rt"":60148,""response"":{""q13"":""The agent was upbeat and seemed engaged. In particular, I appreciated how - when it asked a question that didn't make sense for me - it accepted and welcomed my reframing of the question and my answer instead. Chatbots can often be very rigid when they expect certain answers, while this one remained supportive."",""q14"":""It talked a bit quickly? Like I was never quite sure when it was my moment to speak, somehow. Also I felt like I had to rush lest it jump in too.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":361350}"
3/3/2025 14:40:28,"{""bot"":""Bot1"",""rt"":30356,""response"":{""q7"":""5"",""q8"":""5"",""q9"":""5"",""q10"":""5"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":273743}"
3/3/2025 14:40:37,"{""bot"":""Bot1"",""rt"":40988,""response"":{""q13"":""She was so smart and insightful.  She actually understood everything I was saying perfectly and had a relatively thoughtful response."",""q14"":""Nothing.  This was awesome.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":336771}"
3/3/2025 14:40:52,"{""bot"":""Bot1"",""rt"":43287,""response"":{""q13"":""Talking about Costco I guess."",""q14"":""The conversation didn't seem too flow too naturally compared to other chatbot's I've used before.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":363191}"
3/3/2025 14:40:58,"{""bot"":""Bot1"",""rt"":33001,""response"":{""q1"":""5"",""q2"":""3"",""q3"":""3"",""q4"":""4"",""q5"":""2"",""q6"":""4""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":392577}"
3/3/2025 14:41:05,"{""bot"":""Bot1"",""rt"":66053,""response"":{""q13"":""the agent was very smart, which was surprising. her tone was easy and did not sound robotic. Definitely sounded like a computer, but not like a digital robot."",""q14"":""no, i am maybe unsettled at how she picked up my conversation and then would flow with it...""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":335887}"
3/3/2025 14:41:11,"{""bot"":""Bot1"",""rt"":43615,""response"":{""q13"":""The part where she asked me about my breakfast and what I like to do "",""q14"":""Not really""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":317365}"
3/3/2025 14:41:16,"{""bot"":""Bot1"",""rt"":18262,""response"":{""q7"":""3"",""q8"":""2"",""q9"":""2"",""q10"":""3"",""q11"":""2"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":410848}"
3/3/2025 14:41:36,"{""bot"":""Bot1"",""rt"":25345,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":446472}"
3/3/2025 14:41:41,"{""bot"":""Bot1"",""rt"":25756,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""3"",""q5"":""5"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":403525}"
3/3/2025 14:41:56,"{""bot"":""Bot1"",""rt"":20038,""response"":{""q7"":""4"",""q8"":""4"",""q9"":""5"",""q10"":""5"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":466521}"
3/3/2025 14:41:58,"{""bot"":""Bot1"",""rt"":19166,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":220867}"
3/3/2025 14:42:09,"{""bot"":""Bot1"",""rt"":27872,""response"":{""q7"":""4"",""q8"":""3"",""q9"":""4"",""q10"":""3"",""q11"":""4"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":431398}"
3/3/2025 14:42:15,"{""bot"":""Bot1"",""rt"":17842,""response"":{""q7"":""4"",""q8"":""5"",""q9"":""5"",""q10"":""4"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":238711}"
3/3/2025 14:42:21,"{""bot"":""Bot1"",""rt"":64574,""response"":{""q13"":""When the agent told me that Thai dish was good and full of flavors. I felt more connected to the chatbot. "",""q14"":""The agent's voice was a little unfriendly and I felt rushed although she said to take your time. ""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":475439}"
3/3/2025 14:42:38,"{""bot"":""Bot1"",""rt"":22419,""response"":{""q13"":""I loved her bubbly personality and upbeat voice. She sounded genuinely happy to be talking to me."",""q14"":""No.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":261132}"
3/3/2025 14:42:45,"{""bot"":""Bot1"",""rt"":12389,""response"":{""q1"":""4"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":521482}"
3/3/2025 14:42:50,"{""bot"":""Bot2"",""rt"":6876,""response"":{""q1"":""3"",""q2"":""3"",""q3"":""3"",""q4"":""3"",""q5"":""3"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":455038}"
3/3/2025 14:42:56,"{""bot"":""Bot1"",""rt"":59524,""response"":{""q13"":""I liked the agent's voice. The agent made it seem like I was talking to a friend. This agent has been the best one I have ever interacted with. "",""q14"":""No, nothing challengine or frustrating. ""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":526048}"
3/3/2025 14:42:59,"{""bot"":""Bot2"",""rt"":9060,""response"":{""q7"":""4"",""q8"":""3"",""q9"":""2"",""q10"":""2"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":464106}"
3/3/2025 14:43:01,"{""bot"":""Bot1"",""rt"":15319,""response"":{""q7"":""4"",""q8"":""5"",""q9"":""4"",""q10"":""4"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":536802}"
3/3/2025 14:43:09,"{""bot"":""Bot1"",""rt"":8272,""response"":{""q13"":""I enjoyed talking about breakfast"",""q14"":""Not really""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":545075}"
3/3/2025 14:43:13,"{""bot"":""Bot1"",""rt"":64984,""response"":{""q13"":""Being able to ask questions myself and have the AI Chatbot response"",""q14"":""I felt some of the words/pauses were delayed. Felt almost like if your netflix is buffering.""},""trial_type"":""survey-html-form"",""trial_index"":7,""plugin_version"":null,""time_elapsed"":496381}"
3/3/2025 14:43:17,"{""bot"":""Bot2"",""rt"":17879,""response"":{""q13"":""my favorite part was talking about how I was doing"",""q14"":""No""},""trial_type"":""survey-html-form"",""trial_index"":11,""plugin_version"":null,""time_elapsed"":481992}"
3/3/2025 14:43:51,"{""bot"":""Bot2"",""rt"":16160,""response"":{""q1"":""4"",""q2"":""3"",""q3"":""3"",""q4"":""3"",""q5"":""2"",""q6"":""2""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":570057}"
3/3/2025 14:43:54,"{""bot"":""Bot1"",""rt"":29413,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":372593}"
3/3/2025 14:43:55,"{""bot"":""Bot1"",""rt"":53372,""response"":{""q1"":""3"",""q2"":""4"",""q3"":""4"",""q4"":""4"",""q5"":""4"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":5,""plugin_version"":null,""time_elapsed"":357700}"
3/3/2025 14:44:12,"{""bot"":""Bot2"",""rt"":20312,""response"":{""q7"":""3"",""q8"":""3"",""q9"":""3"",""q10"":""3"",""q11"":""3"",""q12"":""3""},""trial_type"":""survey-html-form"",""trial_index"":10,""plugin_version"":null,""time_elapsed"":590372}"
3/3/2025 14:44:18,"{""bot"":""Bot1"",""rt"":25214,""response"":{""q7"":""4"",""q8"":""4"",""q9"":""5"",""q10"":""5"",""q11"":""5"",""q12"":""5""},""trial_type"":""survey-html-form"",""trial_index"":6,""plugin_version"":null,""time_elapsed"":397809}"
3/3/2025 14:44:21,"{""bot"":""Bot2"",""rt"":13099,""response"":{""q1"":""5"",""q2"":""5"",""q3"":""5"",""q4"":""5"",""q5"":""5"",""q6"":""5""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":560779}"
3/3/2025 14:44:32,"{""bot"":""Bot2"",""rt"":18814,""response"":{""q1"":""3"",""q2"":""4"",""q3"":""4"",""q4"":""3"",""q5"":""5"",""q6"":""3""},""trial_type"":""survey-html-form"",""trial_index"":9,""plugin_version"":null,""time_elapsed"":542334}"
